,date_updated,type,og_nr,wc_nr,total_area_(hectare),field_organic_status
6823,2017-06-09,og,2768.0,,4.05,Con
12471,2022-08-06,og,2770.0,,3.6,org uncert
6826,2022-01-21,og,2770.0,,3.6,org uncert
6829,2022-01-30,og,2771.0,,2.4,org uncert
12454,2022-08-15,og,2771.0,,2.4,org uncert
6833,2022-01-31,og,2772.0,,3.625,Org
10629,2022-01-31,og,2773.0,,2.1,org
8062,2022-01-29,og,2778.0,,6.15,org
6837,2022-01-28,og,2799.0,,5.0,org uncert
10790,2022-01-26,og,2800.0,,2.4,Org
10584,2022-01-30,og,2801.0,,2.9,org uncert
6841,2022-01-28,og,2802.0,,2.5,org
10724,2022-01-27,og,2813.0,,3.5,Org
13318,2022-08-10,og,2815.0,,5.1,org uncert
10729,2022-01-27,og,2815.0,,5.1,org uncert
8064,2022-01-27,og,2816.0,,6.25,Org
13316,2022-08-10,og,2816.0,,6.25,Org
13310,2022-08-11,og,2817.0,,2.0,Org
10753,2022-01-25,og,2817.0,,2.0,org uncert
6847,2022-01-25,og,2818.0,,3.15,Org
13305,2022-08-11,og,2818.0,,3.15,org uncert
6848,2022-01-24,og,2819.0,,6.75,Org
13301,2022-08-09,og,2819.0,,6.75,Org
13296,2022-08-11,og,2820.0,,2.5,Org
6854,2022-01-25,og,2820.0,,2.5,org uncert
7612,2022-01-24,og,2821.0,,4.0,Org
13290,2022-08-09,og,2821.0,,4.0,Org
10565,2022-01-26,og,2822.0,,3.0,Org
13282,2022-08-13,og,2822.0,,3.0,org uncert
6858,2022-01-24,og,2824.0,,6.5,org uncert
13279,2022-08-10,og,2824.0,,6.5,Org
12695,2022-08-11,og,2825.0,,6.5,org uncert
8040,2022-01-28,og,2825.0,,6.5,org uncert
6865,2022-01-31,og,2827.0,,4.2,Org
13269,2022-08-15,og,2827.0,,4.2,org uncert
12552,2022-08-12,og,2830.0,,6.05,Org
7616,2022-01-24,og,2830.0,,6.05,Org
11782,2022-08-30,og,2831.0,,1.5,Org
6873,2022-01-25,og,2831.0,,3.5,Org
12557,2022-08-12,og,2832.0,,4.2,org uncert
6876,2022-01-24,og,2832.0,,4.02,Org
12599,2022-08-12,og,2833.0,,1.5,Org
11533,2022-01-24,og,2833.0,,1.5,Org
6877,2022-01-25,og,2834.0,,2.8,Org
12440,2022-08-10,og,2834.0,,2.8,org uncert
11438,2022-01-25,og,2835.0,,3.8,Org
12274,2022-08-10,og,2835.0,,5.3,Org
7621,2022-01-27,og,2836.0,,5.6,Org
13263,2022-08-10,og,2836.0,,5.6,Org
6890,2022-01-24,og,2837.0,,4.1,Org
12577,2022-08-12,og,2837.0,,3.6,Org
12379,2022-08-10,og,2838.0,,3.25,Org
10926,2022-01-24,og,2838.0,,3.25,org uncert
6896,2022-01-24,og,2839.0,,4.8,org uncert
13258,2022-08-13,og,2840.0,,1.5,org uncert
10908,2022-01-27,og,2840.0,,1.5,Org
13256,2022-08-09,og,2841.0,,6.2,org uncert
8044,2022-01-27,og,2841.0,,6.2,org uncert
10882,2022-01-22,og,2842.0,,1.1,Org
13247,2022-08-10,og,2842.0,,1.1,org uncert
6903,2022-01-27,og,2843.0,,2.85,org uncert
13242,2022-08-11,og,2843.0,,2.85,Org
6908,2022-01-27,og,2844.0,,2.45,org
13240,2022-08-06,og,2844.0,,3.95,Org
11529,2022-01-22,og,2845.0,,1.5,org
13233,2022-08-09,og,2845.0,,1.5,Org
13227,2022-08-11,og,2847.0,,2.0,org uncert
10922,2022-01-27,og,2847.0,,1.5,Org
10923,2020-11-03,og,2847.0,,0.5,Con
6909,2022-01-23,og,2848.0,,4.5,Org
6913,2022-01-23,og,2850.0,,4.3,org uncert
10875,2022-01-27,og,2851.0,,1.5,org uncert
7629,2022-01-27,og,2855.0,,2.5,Org
6920,2022-01-28,og,2856.0,,4.0,org uncert
7631,2022-02-01,og,2857.0,,4.5,Org
11886,2022-08-29,og,2857.0,,4.25,Org
6929,2022-01-27,og,2858.0,,5.5,org uncert
10543,2022-01-27,og,2860.0,,2.5,Org
6934,2022-01-28,og,2861.0,,2.8,Org
6936,2022-01-26,og,2863.0,,4.75,Org
6942,2022-01-23,og,2865.0,,3.8,Org
12208,2022-08-13,og,2865.0,,3.8,org uncert
6943,2022-01-23,og,2866.0,,4.8,org uncert
12177,2022-08-13,og,2866.0,,4.8,Org
6950,2022-01-23,og,2868.0,,2.5,org uncert
12010,2022-08-11,og,2868.0,,2.5,Org
7638,2022-01-26,og,2869.0,,4.25,org uncert
12224,2022-08-13,og,2869.0,,4.25,org uncert
6958,2022-01-26,og,2870.0,,4.0,org uncert
6962,2022-01-23,og,2872.0,,3.0,org uncert
12213,2022-08-13,og,2872.0,,3.0,Org
12028,2022-08-11,og,2873.0,,3.5,Org
6965,2022-01-23,og,2873.0,,3.5,Org
12042,2022-08-11,og,2875.0,,1.2,org uncert
6968,2022-01-22,og,2875.0,,1.2,org uncert
6850,2022-01-24,og,2877.0,,7.0,org uncert
12604,2022-08-06,og,2877.0,,7.0,Org
10850,2022-01-24,og,2878.0,,2.8,org uncert
12656,2022-08-11,og,2882.0,,3.7,Org
7644,2022-01-28,og,2882.0,,3.7,Org
7645,2022-01-22,og,2884.0,,2.5,Org
6980,2022-01-28,og,2885.0,,7.0,org uncert
11644,2022-08-18,og,2887.0,,4.25,org uncert
7647,2022-01-27,og,2887.0,,4.25,org uncert
10934,2022-01-28,og,2890.0,,3.0,Org
11634,2022-08-18,og,2895.0,,1.9,org uncert
10750,2022-01-25,og,2895.0,,1.5,org uncert
6988,2022-01-22,og,2896.0,,7.5,Org
12487,2022-08-13,og,2896.0,,5.0,Org
10810,2022-01-27,og,2897.0,,1.9000000000000001,org uncert
11618,2022-08-18,og,2897.0,,1.5,C3
12003,2022-08-12,og,2899.0,,3.0,Org
7649,2022-01-26,og,2899.0,,3.0,Org
12701,2022-08-12,og,2900.0,,2.0,org uncert
6991,2022-01-27,og,2900.0,,2.0,org
11254,2020-11-03,og,2901.0,,2.0,Con
12512,2022-08-13,og,2901.0,,2.0,org uncert
6993,2022-01-24,og,2950.0,,5.7,org uncert
12583,2022-08-13,og,2950.0,,5.7,Org
6999,2022-01-24,og,2952.0,,3.2,Org
12393,2022-08-11,og,2952.0,,3.2,Org
6985,2022-01-24,og,2953.0,,4.3,org
12147,2022-08-08,og,2953.0,,4.3,org uncert
7004,2022-01-28,og,2954.0,,3.8,Org
7008,2022-01-22,og,2955.0,,4.3,Org
11900,2022-08-29,og,2956.0,,1.0,org uncert
7010,2022-01-28,og,2956.0,,1.5,org uncert
10947,2022-01-28,og,2957.0,,4.0,org uncert
11777,2022-08-30,og,2958.0,,2.3,Org
10567,2022-01-24,og,2958.0,,2.3,Org
7014,2022-01-30,og,2965.0,,4.25,org uncert
11537,2022-01-27,og,2967.0,,0.5,Org
11535,2020-11-04,og,2967.0,,0.5,Org
7016,2017-06-13,og,2968.0,,2.5,Org
8072,2022-01-28,og,2969.0,,3.45,Org
10771,2022-01-24,og,2970.0,,2.0,org uncert
7022,2022-02-24,og,2971.0,,2.75,org uncert
10993,2022-01-28,og,2972.0,,3.5,org uncert
7025,2022-01-27,og,2973.0,,3.75,Org
7026,2022-01-27,og,2976.0,,3.25,org uncert
7030,2022-01-27,og,2977.0,,3.0,Org
7666,2020-11-05,og,2977.0,,1.0,Org
7035,2022-01-21,og,2979.0,,2.9,Org
7040,2022-01-24,og,2980.0,,5.8,org uncert
11002,2022-01-28,og,2981.0,,3.0,org uncert
12424,2022-08-10,og,2982.0,,4.0,Org
7045,2022-01-27,og,2982.0,,4.0,Org
11113,2022-01-27,og,2983.0,,3.5,org uncert
11064,2022-01-25,og,2995.0,,3.0,Org
7046,2022-01-30,og,2996.0,,4.75,org uncert
7671,2022-01-24,og,2998.0,,4.0,Org
7057,2022-01-27,og,3000.0,,3.1,Org
7673,2022-01-30,og,3004.0,,4.5,org uncert
11622,2022-08-18,og,3004.0,,4.5,Org
11058,2022-01-22,og,3009.0,,4.05,org uncert
11990,2022-08-12,og,3009.0,,4.05,Org
7062,2020-11-07,og,3010.0,,2.0,Org
12464,2022-08-15,og,3010.0,,3.0,org uncert
10911,2022-01-22,og,3011.0,,1.5,org
12005,2022-08-12,og,3012.0,,3.1,Org
7063,2022-01-26,og,3012.0,,3.1,Org
7676,2022-01-26,og,3014.0,,7.75,Org
12018,2022-08-12,og,3014.0,,7.75,Org
8047,2022-01-26,og,3016.0,,2.8,Org
10763,2022-01-27,og,3017.0,,2.0,Org
7076,2022-01-30,og,3018.0,,2.75,org uncert
12342,2022-08-12,og,3018.0,,3.25,org uncert
7079,2022-01-27,og,3019.0,,2.13,Org
12476,2022-08-12,og,3020.0,,1.75,org uncert
7082,2022-01-27,og,3020.0,,1.75,Org
7083,2022-01-27,og,3021.0,,3.25,Org
10590,2022-01-28,og,3022.0,,1.65,org
12536,2022-08-11,og,3022.0,,1.65,Org
7683,2022-02-24,og,3024.0,,3.5,Org
7095,2022-02-24,og,3025.0,,3.0,org uncert
7098,2022-01-24,og,3027.0,,2.3,org
11092,2022-01-24,og,3030.0,,2.92,Org
12435,2022-08-10,og,3030.0,,4.42,org uncert
11038,2022-01-24,og,3031.0,,0.4,Org
11034,2022-01-25,og,3031.0,,3.5,org uncert
10916,2022-01-25,og,3033.0,,1.7,Org
12509,2022-08-13,og,3033.0,,2.2,Org
12422,2022-08-10,og,3035.0,,2.5,Org
7100,2022-01-24,og,3035.0,,2.8,Org
11517,2022-01-24,og,3036.0,,3.5,org uncert
12523,2022-08-10,og,3037.0,,4.0,org uncert
6803,2022-01-24,og,3037.0,,3.0,Org
10848,2022-01-25,og,3038.0,,4.1,Org
12362,2022-08-10,og,3038.0,,3.0,Org
10892,2022-01-27,og,3039.0,,1.5,org uncert
10889,2022-01-23,og,3040.0,,1.5,Org
6810,2022-01-27,og,3041.0,,2.85,org uncert
6812,2022-01-27,og,3043.0,,2.1,org uncert
6815,2022-01-27,og,3044.0,,1.5,Org
6820,2022-01-27,og,3046.0,,5.25,Org
11006,2022-01-28,og,3049.0,,2.5,Org
12484,2022-08-13,og,3050.0,,4.0,Org
7104,2022-01-25,og,3050.0,,3.0,org uncert
7694,2022-01-28,og,3053.0,,2.5,org
12265,2022-08-15,og,3053.0,,2.5,org uncert
12627,2022-08-15,og,3056.0,,2.5,Org
7111,2022-01-30,og,3056.0,,2.5,org uncert
7113,2022-01-22,og,3059.0,,2.05,org uncert
12473,2022-08-15,og,3061.0,,1.5,Org
7697,2022-01-22,og,3061.0,,2.7,Org
7698,2022-01-30,og,3064.0,,2.5,Org
7120,2022-01-30,og,3068.0,,1.76,Org
12629,2022-08-15,og,3068.0,,1.76,org uncert
7700,2022-01-27,og,3070.0,,1.8,Org
12247,2022-08-15,og,3070.0,,1.8,org uncert
12251,2022-08-15,og,3071.0,,5.5,Org
8049,2022-01-28,og,3071.0,,5.5,Org
11019,2022-01-24,og,3104.0,,6.5,Org
10984,2022-01-28,og,3109.0,,2.0,Org
7129,2022-01-28,og,3110.0,,2.6,Org
10674,2018-10-05,og,3139.0,,1.5,Con
7703,2022-01-27,og,3147.0,,1.4,org uncert
7704,2022-01-24,og,3463.0,,3.5,Org
7140,2022-01-31,og,3671.0,,1.1,org uncert
8078,2018-10-10,og,3672.0,,1.5,Org
7105,2018-10-10,og,3674.0,,3.5,Con
8082,2017-06-07,og,3675.0,,1.5,Org
8085,2022-01-22,og,3676.0,,3.0,Org
7142,2022-01-31,og,3677.0,,3.0,Org
12119,2022-08-16,og,3677.0,,3.0,Org
8088,2022-01-30,og,3678.0,,2.5,Org
12134,2022-08-16,og,3679.0,,2.5,org uncert
10279,2022-01-31,og,3679.0,,2.5,Org
8051,2022-01-30,og,3680.0,,3.1,org
7147,2018-10-10,og,3682.0,,2.5,Con
8095,2022-01-22,og,3683.0,,3.0,Org
8100,2022-01-30,og,3684.0,,2.3000000000000003,Org
8103,2022-01-30,og,3685.0,,4.5,Org
8106,2022-01-31,og,3686.0,,3.0,Org
7151,2020-11-06,og,3687.0,,0.6,Con
12075,2022-08-16,og,3689.0,,2.5,org uncert
7152,2020-11-06,og,3689.0,,2.5,Org
7154,2018-10-10,og,3690.0,,2.5,Con
7158,2022-01-22,og,3763.0,,3.2,org uncert
7163,2018-10-11,og,3764.0,,1.2999999999999998,Org
7165,2022-02-02,og,3765.0,,3.9,Org
12257,2022-08-15,og,3765.0,,3.9,org uncert
7169,2022-01-31,og,3767.0,,5.23,Org
8053,2022-01-30,og,3768.0,,3.5,org uncert
12635,2022-08-15,og,3768.0,,3.5,org uncert
12236,2022-08-15,og,3769.0,,2.8,Org
7717,2022-02-02,og,3769.0,,2.8,org
7177,2018-10-10,og,3771.0,,1.3,Con
7179,2022-01-22,og,3772.0,,4.3,Org
8110,2017-06-07,og,3775.0,,0.6,Org
7182,2022-01-31,og,3776.0,,9.5,org uncert
12107,2022-08-16,og,3776.0,,9.5,Org
