,year_of_purchase,date_of_purchase,type,og_nr,wc_nr,product,amount_in_kg,price_per_kg,total_payment_usd
6648,2016,2016-07-20,og,2770.0,,Rosella (subdariffa) petals (org),103.4,1.1,114.0
7737,2017,2017-09-08,og,2770.0,,Rosella (subdariffa) petals (org),11.98,1.1,13.0
7818,2017,2017-11-26,og,2770.0,,Strophanthus (kombe) seed (con),93.0,10.0,930.0
8267,2018,2018-07-16,og,2770.0,,Rosella (subdariffa) petals (org),102.0,1.1,112.2
8353,2018,2018-08-13,og,2770.0,,Rosella (subdariffa) seed (org),61.0,0.5,30.5
9032,2019,2019-09-14,og,2770.0,,Rosella (subdariffa) petals (org),19.7,8.0,173.36
9039,2019,2019-09-14,og,2770.0,,Rosella (subdariffa) petals (org),19.3,8.0,137.84
9044,2019,2019-10-30,og,2770.0,,Rosella (subdariffa) petals (org),19.7,15.0,122.0
9051,2019,2019-10-30,og,2770.0,,Rosella (subdariffa) petals (org),19.3,15.0,152.0
9337,2020,2020-07-27,og,2770.0,,Rosella (subdariffa) petals (org),72.4,1.1,79.64
9900,2021,2021-07-14,og,2770.0,,Rosella (subdariffa) petals (org),26.2,1.1,29.0
10321,2022,2022-07-13,og,2770.0,,Rosella (subdariffa) petals (org),70.0,1.1,77.0
10417,2022,2022-09-29,og,2770.0,,Rosella (subdariffa) petals (org),71.0,1.1,78.0
6649,2016,2016-07-20,og,2771.0,,Rosella (subdariffa) petals (org),37.8,1.1,42.0
7738,2017,2017-09-08,og,2771.0,,Rosella (subdariffa) petals (org),6.3,1.1,7.0
8268,2018,2018-07-16,og,2771.0,,Rosella (subdariffa) petals (org),74.4,1.1,81.84
8357,2018,2018-08-13,og,2771.0,,Rosella (subdariffa) seed (org),21.0,0.5,10.5
9033,2019,2019-09-14,og,2771.0,,Rosella (subdariffa) petals (org),13.4,8.0,117.92
9045,2019,2019-10-30,og,2771.0,,Rosella (subdariffa) petals (org),13.4,15.0,84.0
9338,2020,2020-07-27,og,2771.0,,Rosella (subdariffa) petals (org),19.3,1.1,21.23
9901,2021,2021-07-14,og,2771.0,,Rosella (subdariffa) petals (org),11.6,1.1,13.0
10322,2022,2022-07-13,og,2771.0,,Rosella (subdariffa) petals (org),29.0,1.1,32.0
10328,2022,2022-07-13,og,2771.0,,Rosella (subdariffa) petals (org),262.0,1.1,288.0
10423,2022,2022-09-29,og,2771.0,,Rosella (subdariffa) petals (org),78.0,1.1,86.0
6650,2016,2016-07-20,og,2772.0,,Rosella (subdariffa) petals (org),69.1,1.1,76.0
7752,2017,2017-09-08,og,2772.0,,Rosella (subdariffa) petals (org),20.11,1.1,22.0
8275,2018,2018-07-16,og,2772.0,,Rosella (subdariffa) petals (org),226.1,1.1,248.71
8356,2018,2018-08-13,og,2772.0,,Rosella (subdariffa) seed (org),11.0,0.5,5.5
9036,2019,2019-09-14,og,2772.0,,Rosella (subdariffa) petals (org),138.9,8.0,1174.32
9048,2019,2019-10-30,og,2772.0,,Rosella (subdariffa) petals (org),138.9,15.0,909.5
9120,2020,2020-07-27,og,2772.0,,Rosella (subdariffa) petals (org),127.9,1.1,135.29
9935,2021,2021-07-16,og,2772.0,,Rosella (subdariffa) petals (org),51.0,1.1,56.0
10316,2022,2022-07-13,og,2772.0,,Rosella (subdariffa) petals (org),60.0,1.1,66.0
10320,2022,2022-07-13,og,2772.0,,Rosella (subdariffa) petals (org),68.0,1.1,75.0
10424,2022,2022-09-27,og,2772.0,,Rosella (subdariffa) petals (org),49.0,1.1,54.0
9005,2019,2019-09-14,og,2773.0,,Rosella (subdariffa) petals (org),5.3,15.0,79.5
9263,2020,2020-07-27,og,2773.0,,Rosella (subdariffa) petals (org),77.6,1.1,78.16
9501,2020,2020-07-27,og,2773.0,,Rosella (subdariffa) petals (org),32.0,1.1,35.2
9905,2021,2021-07-14,og,2773.0,,Rosella (subdariffa) petals (org),97.8,1.1,108.0
9934,2021,2021-07-16,og,2773.0,,Rosella (subdariffa) petals (org),43.7,1.1,48.0
10425,2022,2022-09-27,og,2773.0,,Rosella (subdariffa) petals (org),54.0,1.1,59.0
6658,2016,2016-07-20,og,2778.0,,Rosella (subdariffa) petals (org),16.5,1.1,18.0
7746,2017,2017-09-08,og,2778.0,,Rosella (subdariffa) petals (org),9.49,1.1,10.0
8264,2018,2018-07-16,og,2778.0,,Rosella (subdariffa) petals (org),54.0,1.1,59.4
8354,2018,2018-08-13,og,2778.0,,Rosella (subdariffa) seed (org),40.0,0.5,20.0
9034,2019,2019-09-14,og,2778.0,,Rosella (subdariffa) petals (org),40.7,8.0,358.16
9046,2019,2019-10-30,og,2778.0,,Rosella (subdariffa) petals (org),40.7,15.0,252.0
9340,2020,2020-07-27,og,2778.0,,Rosella (subdariffa) petals (org),31.6,1.1,29.36
9942,2021,2021-07-16,og,2778.0,,Rosella (subdariffa) petals (org),65.4,1.1,72.0
10329,2022,2022-07-13,og,2778.0,,Rosella (subdariffa) petals (org),264.0,1.1,290.0
10452,2022,2022-08-27,og,2778.0,,Rosella (subdariffa) petals (org),77.0,1.1,85.0
10430,2022,2022-09-27,og,2778.0,,Rosella (subdariffa) petals (org),85.0,1.1,94.0
6625,2016,2016-07-21,og,2799.0,,Rosella (subdariffa) petals (org),70.9,1.1,78.0
7419,2017,2017-07-14,og,2799.0,,Rosella (subdariffa) seed (org),9.85,0.5,5.0
7730,2017,2017-08-08,og,2799.0,,Rosella (subdariffa) petals (org),22.38,1.1,25.0
8245,2018,2018-07-17,og,2799.0,,Rosella (subdariffa) petals (org),69.7,1.1,76.67
